kanji|meaning|onyomi|kunyomi|lesson|bonus
真|true; reality|シン|ま|17|0
歩|to walk|ホ; ポ|ある(く)|17|0
野|field|ヤ|の|17|0
目|eye|モク|め|18|0
的|target; -ish|...テキ(な)|まと|18|0
力|power|リョク; リキ|ちから|18|0
洋|ocean; overseas|ヨウ(フク)||18|0
服|clothes|(ヨウ)フク||18|0
堂|hall|(ショク)ドウ||18|0
授|to instruct|ジュ|さず(かる)|18|0
業|business; vocation|(ジュ)ギョウ||18|0
試|test; to try|シ|こころ(みる)|18|0
験|to examine|(シ)ケン||18|0
貸|to lend; loan|タイ|か(す)|18|0
図|drawing; to devise|ト; ズ|はか(る)|18|0
館|building; hall|(トショ)カン||18|0
終|end|シュウ|お(わる)|18|0
宿|inn; to lodge in|シュク|やど|18|0
題|title; topic|(シュク)ダイ||18|0
春|spring|シュン|はる|19|0
秋|autumn|シュウ|あき|19|0
冬|winter|トウ|ふゆ|19|0
花|flower|カ|はな; ばな|19|0
様|Mr.; Ms.; condition|ヨウ|さま|19|0
不|negative; non-|フ; ブ||19|0
姉|older sister|シ|あね; ねえ|19|0
兄|older brother|キョウ; ケイ|あに; にい|19|0
漢|China|カン(ジ)||19|0
卒|to graduate|ソツ(ギョウ)||19|0
工|craft; construction|コウ; ク||19|0
究|research|キュウ|きわ(める)|19|0
研|to polish; study|ケン|と(ぐ)|19|0
質|quality; matter|シツ; シチ||19|0
問|question|モン|と(う)|19|0
多|many; much|タ|おお(い)|19|0
皿|plate||さら; ざら|20|0
声|voice|セイ|こえ|20|0
茶|tea|チャ; サ||20|0
止|to stop|シ|と(まる)|20|0
枚|sheet of...|(イチ)マイ||20|0
両|both|リョウ||20|0
無|none|ム; ブ|な(い)|20|0
払|to pay||はら(う); ばら(い)|20|0
心|heart; mind|シン|こころ|20|0
笑|to laugh|ショウ|わら(う); え|20|0
絶|to discontinue|ゼツ; ゼッ|た(える)|20|0
対|opposite|タイ; ツイ||20|0
痛|pain|ツウ|いた(い)|20|0
最|utmost|サイ|もっと(も)|20|0
続|to continue|ゾク|つづ(ける)|20|0
信|to trust; to believe|(ジ)シン||21|0
経|to pass through|ケイ||21|0
台|stand|タイ; ダイ||21|0
風|wind|フウ; フ|かぜ|21|0
犬|dog|ケン|いぬ|21|0
重|heavy; to pile up|ジュウ; チョウ|おも(い); かさ(ねる)|21|0
初|first|ショ|はじ(め); はつ|21|0
若|young||わか(い)|21|0
送|to send|ソウ|おく(る)|21|0
幸|happiness|コウ|しあわ(せ); さいわ(い)|21|0
計|to measure|ケイ|はか(る)|21|0
遅|late|チ|おく(れる); おそ(い)|21|0
配|to deliver|ハイ; パイ|くば(る)|21|0
弟|younger brother|ダイ; デ|おとうと|21|0
妹|younger sister|マイ|いもうと|21|0
記|to write down|ニッ(キ)||22|0
銀|silver|ギン(コウ)||22|0
回|...times; to turn|カイ|まわ(す)|22|0
夕|evening|ユウ(ガタ)||22|0
黒|black|コク|くろ(い)|22|0
用|task; to use|ヨウ(ジ)||22|0
守|to keep; to protect|シュ; ス|まも(る)|22|0
末|the end of|マツ|すえ|22|0
待|to wait|タイ|ま(つ); まち|22|0
残|to remain|ザン|のこ(す); のこ(り)|22|0
番|order; number|(イチ)バン||22|0
駅|station|エキ||22|0
説|theory; to explain|セツ; セッ||22|0
案|idea; proposal|アン(ナイ)||22|0
内|inside; inner|ナイ|うち|22|0
忘|to forget|ボウ|わす(れる)|22|0
顔|face|ガン|かお; がお|23|0
情|emotion; condition|ジョウ|なさ(け)|23|0
怒|to get angry|ド|おこ(る); いか(り)|23|0
変|change; abnormal|ヘン|か(える)|23|0
相|mutual|ショウ; ソウ|あい|23|0
横|sideways|オウ|よこ|23|0
比|to compare|ヒ|くら(べる)|23|0
化|to change into|カ; ケ|ば(ける)|23|0
違|to differ|イ|ちが(う)|23|0
悲|sad|ヒ|かな(しい)|23|0
調|to investigate|チョウ|しら(べる)|23|0
査|to inspect|(チョウ)サ||23|0
果|fruit; result|カ|は(たす)|23|0
感|to sense; to feel|(カン)ドウ||23|0
答|answer|トウ|こた(える); こたえ|23|0
